Etiqueta,Clase(s),Contenido
div,mobile-header__fixed js-mainHeaderFixed,"HiperofertasVenta: (601) 7468001Servicio: (601) 407 3033Sigue tu pedidoConsulta tu facturaNuestras tiendasCatálogoAyudaBuscarMi cuentaMi PerfilDirecciones de envíoMis pedidosSigue tu PedidoConsulta tu facturaIniciar sesiónMi carritoMi cuentaBuscarCategoríasMi carritoMásIniciar sesiónPor favor ingresa tu correo Correo electrónico El correo no es válido ContinuarMi PerfilDirecciones de envíoMis pedidosSigue tu PedidoConsulta tu facturaIniciar sesión Navegar por categorias Ver Hiperofertas Ver CatálogoCategorías Celulares Computadores Electrodomésticos TV Accesorios Videojuegos Audio Cámaras Pines Hogar Casa Inteligente Deportes Llantas y Motos Juguetes OtrosCelulares CelularesCelulares Ver todo en celulares Marca iPhone Samsung  Xiaomi  Motorola  Vivo Oppo Realme Zte TCL Kalley  Huawei Honor Tecno Capacidad de almacenamiento 32 GB  64 GB  128 GB  256 GB  512 GB 1 TB Memoria RAM 2 GB 3 GB 4 GB 6 GB 8 GB 12 GB TabletasTabletas Ver todo en tabletas iPad Android Accesorios Marca Apple  Samsung Lenovo Huawei Alcatel SmartwatchSmartwatch Ver todo en smartwatch Relojes Bandas de Actividad Marca Apple Watch  Huawei  Samsung  Garmin  Xiaomi  Kalley  Multitech Accesorios Celulares y TabletasAccesorios Celulares y Tabletas Ver todo en accesorios celulares y tabletas Cables, Cargadores, Adaptadores Carcasas y estuches Audífonos y manos libres Memorias Micro SD  Baterías Externas Power Bank Bases y Soportes Selfie Stick Otros Accesorios Conoce másConoce más Ver todo en conoce más Seguro Gratis Celulares Plan Retoma Guía de compra Celulares Baratos Lanzamientos Celulares SIM Cards Mundo AppleMundo Apple Ver todo en mundo apple Accesorios Apple Compara los modelos de iPhone Compara los modelos de iPad Compara los modelos de Apple watch Computadores Computadores PortátilesComputadores Portátiles Ver todo en computadores portátiles Laptops y Convertibles 2 en 1 Portátiles Gaming Para Creadores de Contenido Marca HP Lenovo Acer Apple Asus Macbook Procesadores y Tarjetas Gráficas Intel AMD Nvidia Computadores de Escritorio y All in OneComputadores de Escritorio y All in One Ver todo en computadores de escritorio y all in one Tamaño de pantalla De 19"" a 22"" 23"" a 27"" más de 27"" Marca HP Lenovo Apple iMac Asus Zona GamingZona Gaming Ver todo en zona gaming Portátiles Gaming Monitores Gaming Accesorios Gaming Sillas Gamer Marca Asus HP Acer ROG Omen Lenovo MSI TabletasTabletas Ver todo en tabletas iPad Android Accesorios Marca Apple  Samsung Lenovo Acer TCL Xiaomi Honor Compara los modelos de iPad Accesorios y ComplementosAccesorios y Complementos Ver todo en accesorios y complementos Office Antivirus Morrales - Maletines - Fundas Mouse, Teclados, otros perifericos Cables, Cargadores, Adaptadores USB y Tarjetas de Memoria Regulador, UPS y Multitoma Discos Duros Redes, Routers y Wifi Sillas de Oficina Como elegir tu computadorComo elegir tu computador Ver todo en como elegir tu computador Compara los modelos de Macbook Compara los modelos de iMac Impresoras y MultifuncionalesImpresoras y Multifuncionales Ver todo en impresoras y multifuncionales Tipo de Uso Hogar Empresarial Tipo de Tinta Cartucho Botella MonitoresMonitores Ver todo en monitores Gaming Hogar y oficina Tamaño de Pantalla 19"" a 24"" Más de 25"" ProyectoresProyectores Ver todo en proyectores Marca LG Epson Acer Samsung VTA Tintas y PapelTintas y Papel Ver todo en tintas y papel Tipo de Tinta Tóner Cartucho de Inyección Botella de Tinta Marca Hp Canon EpsonElectrodomésticos RefrigeraciónRefrigeración Ver todo en refrigeración Neveras Nevecones Congeladores Minibares y Vineras Dispensadores de Agua Fabricadores de hielo Marca Samsung LG Mabe Haceb Challenger Electrolux Whirlpool GE Kalley Bespoke  Instalaciones Lavadoras y SecadorasLavadoras y Secadoras Ver todo en lavadoras y secadoras Lavadoras Secadoras Lavadora Secadora Marcas LG Whirlpool Mabe Electrolux Samsung Haceb Challenger Kalley Acros Maytag Instalaciones y Mantenimiento Lavadoras Secadoras CocinaCocina Ver todo en cocina Estufas Piso Mesa Empotrar Hornos Microondas Tostadores Empotrar Campanas Extractoras Lavavajllas Instalaciones Hornos Estufas Lavavajllas Preparación de AlimentosPreparación de Alimentos Ver todo en preparación de alimentos Freidoras de Aire Licuadoras Cafeteras de goteo  Cafeteras Expressería  Batidoras Ollas Arroceras Ollas Multifucionales Sandwicheras y Wafleras Exprimidores y Extractores Procesador de Alimentos Otros Productos de Preparación ClimatizaciónClimatización Ver todo en climatización Aire y Ambiente Aires Acondicionados Ventiladores Calefactores Calentadores Calentadores De acumulación Tiro natural ideal casas Tiro forzado ideal aptos Duchas eléctricas Recomendador calentadores Instalaciones Aires Acondicionados Calentadores Cuidado PersonalCuidado Personal Ver todo en cuidado personal Planchas y Cepillos de aire Secadores de Cabello Afeitadoras y Depiladoras Marcas Remington Philips Gama Wahl Babyliss Kalley Conair Panasonic Braun Cuidado del HogarCuidado del Hogar Ver todo en cuidado del hogar Cuidado de Ropa Máquinas de Coser Planchas Ropa Cuidado de Pisos Aspiradoras Hidrolavadoras Otros ElectrohogarOtros Electrohogar Ver todo en otros electrohogar Combos Preparación de Alimentos Cuidado Personal Cuidado Hogar Teléfonos Fijos Alámbricos Inalámbricos Salud y Bienestar Masajeadores Conoce másConoce más Ver todo en conoce más Guia de compra estufas Guia hornos empotre Guia de compra campanas Recetas ThinQ Información RetiQ Accesorios y RepuestosAccesorios y Repuestos Ver todo en accesorios y repuestos Accesorios - RepuestosTV TelevisoresTelevisores Ver todo en televisores Tamaño de pantalla (Pulgadas) 10"" a 32"" 40"" a 49""  50"" a 59"" 60"" a 75"" 76"" y más Marca Samsung LG Panasonic Kalley Hyundai Challenger TCL Tipo de Pantalla LED NanoCell OLED QLED Mini LED QNED Resolución HD Full HD 4k - UHD 8k Sistema Operativo Android TV Google TV Tizen Web OS Roku TV Características Especiales Lifestyle Zona Gamer y TV Complementos de TvComplementos de Tv Ver todo en complementos de tv Barras de Sonido Reproductores de Contenido Apple Roku Chromecast Proyectores Instalaciones Instalación TV Accesorios TVAccesorios TV Ver todo en accesorios tv Bases y Soportes TV Antenas Cables Regulador, UPS y Multitoma Reproductores Apple Roku Netflix y PinesNetflix y Pines Ver todo en netflix y pines Netflix $20.000 $30.000 $35.000 $40.000 $50.000 Paramount  1 Mes 3 Meses  WIN Sports 1 Mes 6 Meses  12 Meses Conoce MásConoce Más Ver todo en conoce más Android TV Kalley Televisores TCLAccesorios Accesorios de Celulares y TabletasAccesorios de Celulares y Tabletas Ver todo en accesorios de celulares y tabletas Cables, Cargadores, Adaptadores Audífonos y manos libres Memorias Micro SD  Carcasas y estuches Baterías Externas Power Bank Bases y Soportes Otros Accesorios Mundo Apple Accesorios ComputadoresAccesorios Computadores Ver todo en accesorios computadores USB y Tarjetas de Memoria Maletín, Morrales y Fundas Discos Duros Cables, Cargadores, Adaptadores Mouse, Teclados y Otros Regulador, UPS y Multitoma Routers y Wifi Tabletas Digitalizadoras Licencias Software Sillas de Oficina Accesorios TvAccesorios Tv Ver todo en accesorios tv Bases y Soportes TV Antenas Decodificadores Cables Regulador, UPS y Multitoma Reproductores Apple Roku Accesorios AudioAccesorios Audio Ver todo en accesorios audio Micrófonos Cables Audífonos y manos libres Bases Accesorios GamingAccesorios Gaming Ver todo en accesorios gaming Teclados Mouse y Mouse Pads Audifonos y Parlantes Gamers Sillas Gamer Routers SmartwatchSmartwatch Ver todo en smartwatch Relojes Bandas de Actividad Marca Apple Watch  Huawei  Samsung  Fitbit  Garmin  Xiaomi  Kalley  Multitech Accesorios Para DeporteAccesorios Para Deporte Ver todo en accesorios para deporte Sensores para Bicicleta Accesorios de Movilidad Audífonos Deportivos Cables, Cargadores y AdaptadoresCables, Cargadores y Adaptadores Ver todo en cables Para Celulares y Tabletas Para Computadores Para TV Para Audio Cables para Apple iPhone iPad Otros AccesoriosOtros Accesorios Ver todo en otros accesorios Discos Duros USB y Tarjetas de Memoria Baterías Externas Power Bank Regulador, UPS y Multitoma Pilas Recargables Kit de Limpieza Escritorios y Centros de Computo Casa InteligenteCasa Inteligente Ver todo en casa inteligente Redes y Wifi Iluminación y Electricidad Cámaras de Seguridad Cerraduras Electrónicas Parlantes Inteligentes y Asistentes de voz Sensores Otros Dispositivos inteligentesVideojuegos ConsolasConsolas Ver todo en consolas PlayStation XBOX Nintendo Asus Lenovo VideojuegosVideojuegos Ver todo en videojuegos PlayStation XBOX Nintendo Controles y AccesoriosControles y Accesorios Ver todo en controles y accesorios PlayStation XBOX Nintendo Membresías y Códigos DigitalesMembresías y Códigos Digitales Ver todo en membresías y códigos digitales Códigos Digitales PlayStation XBOX IMVU FREEFIRE PC GamingPC Gaming Ver todo en pc gaming Portátiles Monitores Accesorios Gaming XboxXbox Ver todo en xbox Consolas Videojuegos Controles y Accesorios Play StationPlay Station Ver todo en play station Consolas Videojuegos Controles y Accesorios NintendoNintendo Ver todo en nintendo Consolas Videojuegos Controles y Accesorios ColeccionablesColeccionables Ver todo en coleccionables Figuras y Vehículos ColeccionablesAudio AudioAudio Ver todo en audio Equipos de Sonido Torres de Sonido Parlantes y Subwoofer Barras de Sonido Amplificadores Marca Bose Panasonic Sony Sonos LG Samsung Kalley JBL Yamaha Challenger Marshall Hyundai AudífonosAudífonos Ver todo en audífonos In Ear On Ear Over Ear Deportivos Cancelación de Ruido Totalmente Inalámbricos  Marca Sony Panasonic Bose JBL Apple Sennheiser Huawei Logitech Samsung Sonos Audio PortableAudio Portable Ver todo en audio portable Parlantes Grabadoras y Radios Marca Bose Sony LG Kalley Multitech Marshall JBL VTA Sonos Car AudioCar Audio Ver todo en car audio Radios Parlantes Marca Sony Pioneer AccesoriosAccesorios Ver todo en accesorios Micrófonos Bases Cables Audífonos y manos libres BoseBose Ver todo en bose Audífonos Parlantes Barras de Sonido Amplificadores SonosSonos Ver todo en sonos Parlantes Subwoofer Barras de Sonido audífonos Conoce más SpotifySpotify Ver todo en spotify $ 15.000 $ 30.000 $ 45.000 $ 90.000 $ 180.000 Instrumentos musicalesInstrumentos musicales Ver todo en instrumentos musicales MicrófonosCámaras CámarasCámaras Ver todo en cámaras Cámaras Fotográficas y de video Cámaras de Acción Marcas Canon Fujifilm GoPro Sony DJI Accesorios CámarasAccesorios Cámaras Ver todo en accesorios cámaras Lentes y Flash Estuches y Maletines Trípodes Tarjetas de Memoria Papel Fotográfico Marcas Canon Sony GoPro Cámaras de SeguridadCámaras de Seguridad Ver todo en cámaras de seguridad Conexión / Ubicación Conexión Alámbrica Conexión Inalámbrica Uso Interior Uso Exterior DronesDrones Ver todo en drones Drones DJIPines NetflixNetflix Ver todo en netflix Pin Virtual $20.000 $30.000 $35.000 $40.000 $50.000 SpotifySpotify Ver todo en spotify Códigos Digitales $ 15.000 $ 30.000 $ 45.000 $ 90.000 $ 180.000 ParamountParamount Ver todo en paramount Pin Virtual 1 Mes 3 Meses  WIN SportsWIN Sports Ver todo en win sports Códigos Digitales 1 Mes 6 Meses  12 Meses Membresias y Códigos digitalesMembresias y Códigos digitales Ver todo en membresias y códigos digitales Membresía PlayStation XBOX IMVU FREEFIRE Crunchyroll Licencias SoftwareLicencias Software Ver todo en licencias software Software Office Antivirus McAfee Directv GoDirectv Go Ver todo en directv go Pin Virtual $ 79.000 $ 59.000  $ 49.500Hogar MueblesMuebles Ver todo en muebles Armarios Bibliotecas Centros de Entretenimiento / TV Cajoneras y Cómodas Escritorios Muebles de Cocina Repisas Mesas y Comedores Muebles de Baño Sillas y SofásSillas y Sofás Ver todo en sillas y sofás Sofás Sofá Camas Sófas Esquineros Poltronas y Sillones Puff Sillas de Oficina Sillas Gamer Sillas de Bar Sillas de Diseño ColchonesColchones Ver todo en colchones Sencillo Semidoble Doble Queen King Camas, Base Cama y Camarotes Colchón con Base Cama Colchón sin Base Cama HabitaciónHabitación Ver todo en habitación Muebles Almohadas Cobijas y Mantas Comforter y Edredones Cubrecamas y Cubrelechos Juegos de Sábanas Plumones y Cover Duvets Protectores de Almohadas y Colchones BañoBaño Ver todo en baño Accesorios de Baño Tapetes de Baño Toallas y Batas de Baño Cortinas de Baño Muebles de Baño CocinaCocina Ver todo en cocina Baterías - Juegos de ollas Ollas a Presión Ollas y Calderos Sartenes, Cacerolas y Wok Refractarias, Moldes y Bowl Recipientes de Nevera Utensilios de Cocina Cuchillos Accesorios de Cocina DecoraciónDecoración Ver todo en decoración Cojines Canastos Decorativos Espejos Faroles y Candelabros Floreros y Macetas Portarretratos y Cuadros Tapetes Mesa y ComplementosMesa y Complementos Ver todo en mesa y complementos Accesorios y Complementos Cubiertos Juegos de Vajillas y Pieza Suelta Termos y Botilitos Jarras y Dispensadores de Agua Vasos y Copas Organización y AseoOrganización y Aseo Ver todo en organización y aseo Cajas Organizadoras Canecas y Papeleras Maletas de Viaje Mesas de Planchar Multiestantes y Cajoneras Lavado y Planchado ExteriorExterior Ver todo en exterior Muebles de Exterior Sillas Plásticas Mesas PlásticasCasa Inteligente Redes y WifiRedes y Wifi Ver todo en redes y wifi Routers Extensores de Señal Cables de Red Switches de Red Adaptadores WiFi y Bluetooth Iluminación y ElectricidadIluminación y Electricidad Ver todo en iluminación y electricidad Bombillos Inteligentes Switches de Red Multitomas Cámaras de SeguridadCámaras de Seguridad Ver todo en cámaras de seguridad Conexión / Ubicación Conexión Alámbrica Conexión Inalámbrica Uso Interior Uso Exterior Cerraduras Electrónicas Parlantes Inteligentes y Asistentes de VozParlantes Inteligentes y Asistentes de Voz Ver todo en parlantes inteligentes y asistentes de voz Alexa SensoresSensores Ver todo en sensores Detección Apertura de Puertas y Ventanas Humo Gas Otros Dispositivos inteligentesOtros Dispositivos inteligentes Ver todo en otros dispositivos inteligentes Comederos Para mascotasDeportes Ejercicio y fitnessEjercicio y fitness Ver todo en ejercicio y fitness Bicicletas Spinning y Estáticas Caminadoras - Trotadoras Elípticas Multigimnasios Bancos y Plataformas Accesorios Deportivos Instaciones Instalación Equipos Gimnasia MovilidadMovilidad Ver todo en movilidad Patinetas Eléctricas - Scooters Bicicletas Eléctricas Cascos Bicicleta Accesorios de Movilidad BicicletasBicicletas Ver todo en bicicletas Bicicletas Adulto Bicicletas Todoterreno y Montaña Bicicletas de Ruta Cascos Bicicleta Accesorios deportivosAccesorios deportivos Ver todo en accesorios deportivos Yoga y Pilates Balón para Pilates Musculación Básculas Digitales Monitores para Bicicletas Accesorios de Movilidad Audífonos Deportivos Simuladores/Rodillo de ciclismo SmartwatchSmartwatch Ver todo en smartwatch Relojes Bandas de Actividad Marca Apple Watch  Huawei  Samsung  Fitbit  Garmin Xiaomi  Kalley  Multitech Esenses Disciplinas deportivasDisciplinas deportivas Ver todo en disciplinas deportivas Balones de Fútbol Mesa de Ping Pong Salud y bienestarSalud y bienestar Ver todo en salud y bienestar MasajeadoresLlantas y Motos LlantasLlantas Ver todo en llantas Automóvil Camioneta Camión Moto Run Flat  Michelin Hankook Continental Marcas Michelin Goodyear Pirelli Hankook Continental Dunlop Kenda Toyo Tires Nexen Sportiva Kenex BF Goodrich Cooper Kontrol Metzeler Busca tu LlantaBusca tu Llanta Ver todo en busca tu llanta Busca tu Llanta Accesorios para AutoAccesorios para Auto Ver todo en accesorios para auto Kit de Carretera Tapetes y Forros Cojinería Car Audio Pijamas para Autos Forro para Timón Herramienta Automotriz Mantenimiento Motor BateriasBaterias Ver todo en baterias Baterías para carro Baterías para camioneta Baterías para camión Cables de iniciar baterías Accesorios para MotosAccesorios para Motos Ver todo en accesorios para motos Cascos Visores para Cascos Maleteros Guantes Chaquetas Ropa Botas Marcas Bell Kontrol Zeus Spartan MotosMotos Ver todo en motos Motos de Calle Motos Automáticas Motos de Enduro Motos Semiautomáticas Motos Carguero Motos Eléctricas LimpiezaLimpieza Ver todo en limpieza Limpieza Automotriz Aspiradora carro Instalación de LlantasInstalación de Llantas Ver todo en instalación de llantas Instalación de LlantasJuguetes Juegos de Mesa y RompecabezasJuegos de Mesa y Rompecabezas Ver todo en juegos de mesa y rompecabezas Marca Monopoly Ronda Rummi-Q Hasbro Gaming Muñecas y sus AccesoriosMuñecas y sus Accesorios Ver todo en muñecas y sus accesorios Marca Barbie Polly Pocket LOL Baby Alive Disney Sparkle Girlz Fantasy Anlily Doll Peppa Pig Juguetes BebéJuguetes Bebé Ver todo en juguetes bebé Aprendizaje y Desarrollo Musicales para Bebés Gimnasios y Caminadores Marca Fisher Price Winfun Play Juegos de RolJuegos de Rol Ver todo en juegos de rol Juguetes de Profesiones Juegos de Belleza Juguetes Musicales Juegos y Deportes de ExteriorJuegos y Deportes de Exterior Ver todo en juegos y deportes de exterior Lanzadores y Pistolas Nerf Deportivos Montables y Triciclos Patines, Patinetas y Scooters Playa y Piscina Drones y Juguetes Voladores Marca Nerf Pistas y CarrosPistas y Carros Ver todo en pistas y carros Pistas Carros de Juguete Carros a Control Remoto Marca Hot Wheels Toy Logic ColeccionablesColeccionables Ver todo en coleccionables Figuras y Vehículos Coleccionables Figuras de AcciónFiguras de Acción Ver todo en figuras de acción Marca Marvel Jurassic World DC Comics Transformers Lego y Bloques de ArmarLego y Bloques de Armar Ver todo en lego y bloques de armar Marca Marvel Lego Otros JuguetesOtros Juguetes Ver todo en otros juguetes Peluches Plastilina y Manualidades Marca Play DohOtros MascotasMascotas Ver todo en mascotas Accesorios para perros y gatos Alimentos Mascotas Aseo Mascotas Marcas Cat Chow Dog Chow Alkosto Chunky Dogourmet Pedrigree Whiskas BebéBebé Ver todo en bebé Pañales Pañitos Húmedos Fórmulas Infantiles Marcas Huggies Pequeñin Pampers Enfagrow Enfamil Ropa GildanRopa Gildan Ver todo en ropa gildan Camisetas Buzos Perchados Deportivo Performance Género Mujer Hombre MercadoMercado Ver todo en mercado Mercado en tiendas físicas ¿Por qué mercar en Alkosto? Nuestras Carnes  Fruver, del campo a tu casa Recetas SegurosSeguros Ver todo en seguros Seguro Gratis Celulares Seguro Accidentes Personales Seguro Motociclistas Garantia Extendida Instalaciones y MantenimientoInstalaciones y Mantenimiento Ver todo en instalaciones y mantenimiento Servicios de Instalación Instalación Electrohogar Televisores Lavadoras y Lavaplatos Estufas Aires Acondicionados Calentadores Nevecones Secadoras Instalación Muebles Instalación Equipos Gimnasia Diagnóstico y Mantenimiento Instalación de Llantas Casa Inteligente Casa Inteligente  Ver todo en casa inteligente  Iluminación y Electricidad Cámaras de Seguridad Redes y Wifi Sensores Cerraduras Electrónicas Otros Dispositivos inteligentes Parlantes Inteligentes y Asistentes de voz Bienestar y Salud Bienestar y Salud  Ver todo en bienestar y salud  Masajeadores Cuidado DentalHiperofertasVenta: (601) 7468001Servicio: (601) 407 3033Sigue tu pedidoConsulta tu facturaNuestras tiendasCatálogoAyudaLínea Gratuita Nacional: 018000 180 222Venta Telefónica: (601) 3649734"
div,header-primary nav-top js-headerPrimary,HiperofertasVenta: (601) 7468001Servicio: (601) 407 3033Sigue tu pedidoConsulta tu facturaNuestras tiendasCatálogoAyudaBuscarMi cuentaMi PerfilDirecciones de envíoMis pedidosSigue tu PedidoConsulta tu facturaIniciar sesiónMi carrito
div,header-primary__center js-headerPrimaryCenter,HiperofertasVenta: (601) 7468001Servicio: (601) 407 3033Sigue tu pedidoConsulta tu facturaNuestras tiendasCatálogoAyudaBuscarMi cuentaMi PerfilDirecciones de envíoMis pedidosSigue tu PedidoConsulta tu facturaIniciar sesiónMi carrito
div,header-primary__logo header-primary__logo--alkosto,N/A
div,banner__component simple-banner,N/A
div,header-primary__content,BuscarMi cuentaMi PerfilDirecciones de envíoMis pedidosSigue tu PedidoConsulta tu facturaIniciar sesiónMi carrito
div,header-primary__close-search,N/A
div,header-primary__search site-search algolia-demo,Buscar
div,search-input,N/A
div,yCmsComponent,Buscar
div,ui-front js-ui-searchbox,Buscar
div,input-group,Buscar
div,nav-toggle-menu,Mi PerfilDirecciones de envíoMis pedidosSigue tu PedidoConsulta tu facturaIniciar sesión
div,,Mi PerfilDirecciones de envíoMis pedidosSigue tu PedidoConsulta tu facturaIniciar sesión
div,main-navigation__screen js-main-navigation-cover,Iniciar sesiónPor favor ingresa tu correo Correo electrónico El correo no es válido Continuar
div,main-navigation__screen__bg js-main-navigation-close,N/A
div,loginNavBottom menuContent js-mobile-menu-container,Iniciar sesiónPor favor ingresa tu correo Correo electrónico El correo no es válido Continuar
div,login-email__body,Correo electrónico El correo no es válido Continuar
div,email-input,Correo electrónico El correo no es válido
div,,Correo electrónico El correo no es válido
div,float-input-group js-float-input-group js-float-group active,Correo electrónico El correo no es válido
div,float-error-input login-email__error,El correo no es válido
div,,N/A
div,main-navigation__screen js-main-navigation-cover,Mi PerfilDirecciones de envíoMis pedidosSigue tu PedidoConsulta tu facturaIniciar sesión
div,main-navigation__screen__bg js-main-navigation-close,N/A
div,main-navigation__screen js-main-navigation-cover,Navegar por categorias Ver Hiperofertas Ver Catálogo
div,main-navigation__screen__head hidden,N/A
